ticker,datetime,open_price,close_price,high_price,low_price,volume,Date,MA_10,MA_20,RSI,Upper_Band,Lower_Band,EMA_12,EMA_26,MACD,Signal_Line,L14,H14,%K,%D,TR,+DM,-DM,ATR,+DI,-DI,DX,ADX,ADX_Signal,MA_Signal,RSI_Signal,Bollinger_Signal,MACD_Signal,Stochastic_Signal
SPY,2020-01-02 00:00:00,301.89458159701474,303.1355895996094,303.15426978706955,300.9521433589323,59151200,2020-01-02,303.1355895996094,303.1355895996094,,,,303.1355895996094,303.1355895996094,0.0,0.0,303.1355895996094,303.1355895996094,,,2.2021264281372623,0.0,0.0,2.2021264281372623,0.0,0.0,,,Hold,Sell,Hold,Hold,Sell,Hold
SPY,2020-01-03 00:00:00,299.67383714936284,300.8402099609375,301.9879310588505,299.61785353247916,77709700,2020-01-03,301.98789978027344,301.98789978027344,0.0,305.2340567960783,298.7417427644686,302.78245427058295,302.9655614782263,-0.18310720764333155,-0.03662144152866631,300.8402099609375,303.1355895996094,0.0,0.0,2.3700775263713467,0.0,1.33428982645313,2.2861019772543045,0.0,29.18264013873219,100.0,100.0,Sell,Sell,Buy,Hold,Sell,Buy
SPY,2020-01-06 00:00:00,299.0486027085506,301.9878845214844,302.071859933869,298.9272953986969,55653900,2020-01-06,301.98789469401044,301.98789469401044,33.33303788268246,304.28327433274995,299.6925150552709,302.6602127707216,302.893140962912,-0.23292819219039984,-0.07588279166101303,300.8402099609375,303.1355895996094,49.99933523898159,24.999667619490793,3.144564535172094,0.08392887501850055,0.6905581337822468,2.572256163226901,1.0876168584134012,26.239584133476562,92.04004201721077,96.02002100860538,Sell,Sell,Hold,Hold,Sell,Hold
SPY,2020-01-07 00:00:00,301.40940246711,301.1388244628906,301.8946318074486,300.68158693250234,40496400,2020-01-07,301.77562713623047,301.77562713623047,26.73914280026166,303.83315770659885,299.7180965658621,302.4261530310553,302.76319159254007,-0.3370385614847464,-0.12811394562575973,300.8402099609375,303.1355895996094,13.009373130359636,21.002902789780407,1.213044874946263,0.0,0.0,2.2324533411567415,0.9398726668909121,22.675143113922882,92.04004201721075,94.69336134480717,Sell,Sell,Buy,Hold,Sell,Buy
SPY,2020-01-08 00:00:00,301.33472602651244,302.74371337890625,303.9847214186127,301.08279977132594,68296000,2020-01-08,301.9692443847656,301.9692443847656,46.67732737161872,303.9503619518491,299.9881268176821,302.47500846918626,302.76174876190055,-0.2867402927142848,-0.15983921504346477,300.8402099609375,303.1355895996094,82.92760752509473,48.64543863147865,2.9019216472867697,2.090089611164103,0.0,2.366347002382747,18.374469035974165,17.113702751088454,3.5526380238762543,71.90818051457444,Buy,Sell,Hold,Hold,Sell,Sell
SPY,2020-01-09 00:00:00,304.3392388585682,304.79644775390625,304.8711115383841,303.7420424863067,48473300,2020-01-09,302.44044494628906,302.44044494628906,60.445993619888135,305.3505275416814,299.5303623508967,302.8321529745278,302.9124672057528,-0.08031423122503156,-0.14393421827977812,300.8402099609375,304.79644775390625,100.0,65.31232688515145,1.1290690520774547,0.8863901197714199,0.0,2.1601340106651983,23.612798950157046,15.622857580734378,20.363980307381745,61.59934047313591,Buy,Sell,Hold,Hold,Buy,Sell
SPY,2020-01-10 00:00:00,305.3937141608587,303.9194030761719,305.5523249064396,303.44354236353234,53029300,2020-01-10,302.6517246791295,302.6517246791295,54.439972894107235,305.53391934770985,299.7695300105491,302.99942222093455,302.9870550480061,0.012367172928463788,-0.11267394003812975,300.8402099609375,304.79644775390625,77.83134574738888,86.91965109082787,2.1087825429072495,0.6812133680554666,0.29850012277432825,2.1527980866997773,24.828962277549664,15.417463953166044,23.384680842049153,55.23023053462145,Buy,Sell,Hold,Hold,Buy,Hold
SPY,2020-01-13 00:00:00,304.55386041017,306.0094909667969,306.0188025829011,304.115303224783,47086800,2020-01-13,303.0714454650879,303.0714454650879,63.16266171685434,306.64322687726553,299.49966405291025,303.462509720298,303.2109391901388,0.2515705301591993,-0.03982504599866395,300.8402099609375,306.0094909667969,100.0,92.61044858246295,1.903499358118097,0.4664776764615226,0.0,2.121635745627067,24.79277875069027,13.688424649462036,28.856566635294683,51.462564263289046,Buy,Sell,Hold,Hold,Buy,Sell
SPY,2020-01-14 00:00:00,305.56171201805597,305.5430603027344,306.63476940502335,304.97385551256133,62832800,2020-01-14,303.3460693359375,303.3460693359375,60.57457212713937,307.07138507895655,299.62075359291845,303.78259442528815,303.3836889021829,0.3989055231052703,0.0479210678221229,300.8402099609375,306.0094909667969,90.97687543908329,89.60274039549073,1.6609138924620197,0.6159668221222319,0.0,2.0704444286087287,25.888518350809996,12.468327255445661,34.98773395791342,49.4032104751171,Buy,Sell,Hold,Hold,Buy,Sell
SPY,2020-01-15 00:00:00,305.44969094633393,306.2334899902344,307.0079489401694,305.36571552833345,72056600,2020-01-15,303.6348114013672,303.6348114013672,62.82909370323937,307.59345499632326,299.6761678064111,304.1596552814337,303.5947852790756,0.5648700023580773,0.15131085472931377,300.8402099609375,306.2334899902344,100.0,96.99229181302776,1.6422334118359458,0.3731795351460505,0.0,2.02762332693145,25.632206626882052,11.458479748927513,38.21370878485172,48.159932509532055,Buy,Sell,Hold,Hold,Buy,Sell
